name,Date,State,WindinStudy,BR,SH,LoadinStudy,912L,174L
Alt1154,Feb-31,9L20,558.3881264,450,450,1743.53,19.90531921,-15.63599491
Alt1155,Feb-31,9L20,534.7071781,450,450,1758.46,22.48717117,-11.25318813
Alt1156,Feb-31,9L20,530.3702791,450,450,1752.54,21.10298538,-10.67293835
Alt1157,Feb-31,9L20,528.9109142,450,450,1746.29,20.23333168,-12.92312908
Alt1158,Feb-31,9L20,487.2301915,450,450,1741.78,25.26477242,-8.888798714
Alt1159,Feb-31,9L20,513.5124602,450,450,1746.78,25.63231659,-6.997252464
Alt1160,Feb-31,9L20,509.2939017,450,450,1762.16,30.55996704,1.34929359
Alt1161,Feb-31,9L20,586.9125025,450,450,1783.47,27.13962555,-0.562204599
Alt1162,Feb-31,9L20,637.3614321,450,450,1808.5,23.31829453,-9.054504395
Alt1163,Feb-31,9L20,657.2710974,450,450,1823.76,23.91402435,-12.56592178
Alt1164,Feb-31,9L20,652.1757131,450,450,1839.19,26.5482769,-9.399796486
Alt1165,Feb-31,9L20,576.0375485,380.7692261,450,1831.81,39.6561203,8.938425064
Alt1166,Feb-31,9L20,538.4628718,380.7692261,450,1831.63,43.80347824,15.61003113
Alt1167,Feb-31,9L20,515.7816753,440.8557739,450,1832.02,42.10108185,16.07588387
Alt1168,Feb-31,9L20,521.3250456,380.7692261,450,1832.37,45.1842308,19.14619827
Alt1169,Feb-31,9L20,499.4492612,380.7692261,450,1835.99,47.61465454,20.92916107
Alt1170,Feb-31,9L20,494.1097693,380.7692261,450,1830.76,47.88819504,20.63459969
Alt1171,Feb-31,9L20,542.7770364,380.7692261,450,1848.71,45.06484222,18.43612289
Alt1172,Feb-31,9L20,622.3877231,380.7692261,450,1835.99,34.37800598,-1.435999274
Alt1173,Feb-31,9L20,673.1402587,380.7692261,450,1841.35,30.29478836,-8.898896217
Alt1174,Feb-31,9L20,753.8605413,380.7692261,380.7692261,1861.66,29.22546196,-2.394989729
Alt1175,Feb-31,9L20,848.4047662,380.7692261,380.7692261,1865.07,19.64393044,-13.48126984
Alt1176,Feb-31,9L20,884.7057172,380.7692261,380.7692261,1847.56,13.4233532,-20.31219482
Alt1177,Feb-31,9L20,887.0408933,312.5068054,380.7692261,1827.13,13.60706902,-17.83138847
Alt1178,Feb-31,9L20,898.9497155,0,351.6374512,1812.51,31.48706055,10.14030647
Alt1179,Feb-31,9L20,939.7996566,0,0,1782.16,49.81905746,23.73245621
Alt1180,Feb-31,9L20,1056.420401,0,0,1765.11,36.04011917,13.36709595
Alt1181,Feb-31,9L20,1189.457083,0,0,1756.85,23.15335083,3.785389185
Alt1182,Feb-31,9L20,1325.048116,0,0,1783.48,11.23968601,-6.909192085
Alt1183,Feb-31,9L20,1437.832028,0,0,1792.53,0.743930042,-14.53714657
Alt1184,Feb-31,9L20,1496.509346,0,0,1793.18,-4.768680096,-20.59597015
Alt1185,Feb-31,9L20,1394.856712,0,0,1820.68,6.428023815,-11.55866528
Alt1186,Feb-31,9L20,1256.142693,238.6355591,0,1858.99,6.07051754,-22.17519379
Alt1187,Feb-31,9L20,1225.909782,356.1741028,0,1856.88,1.523502946,-27.77107811
Alt1188,Feb-31,9L20,1277.015897,356.1741028,0,1871.23,-0.070859663,-28.69391441
Alt1189,Feb-31,9L20,1216.789091,323.3805542,0,1865.18,7.012388706,-23.71051216
Alt1190,Feb-31,9L20,1260.234329,0,0,1863.14,3.788258314,-27.66077232
Alt1191,Feb-31,9L20,1310.612409,0,0,1847.61,17.06936646,-2.236861229
Alt1192,Feb-31,9L20,1286.02454,0,0,1850.91,19.60764694,0.2266206
Alt1193,Feb-31,9L20,1284.311306,0,0,1856.76,19.94839668,0.758170724
Alt1194,Feb-31,9L20,1297.097043,0,0,1862.28,19.18284988,1.625060916
Alt1195,Feb-31,9L20,1239.591555,0,0,1857.16,26.6296196,7.441254616
